Uniprot mnemonic codename	Common name	Scientific name
AADNV	AalDNV	Aedes albopictus densovirus (isolate Boublik/1994)
AAV2	AAV-2	Adeno-associated virus 2
AAV2S	AAV-2	Adeno-associated virus 2 (isolate Srivastava/1982)
ABAMA	Millipede	Abacion magnum
ABANI	Sleepy orange butterfly	Abaeis nicippe
ABAPA	Ground beetle	Abax parallelepipedus
ABAST	Starry triggerfish	Abalistes stellaris
ABBRI	Chinese false gudgeon	Abbottina rivularis
ABDAC	Algae octopus	Abdopus aculeatus
ABECH	Chinese abelia	Abelia chinensis
ABEFI	Native rosella	Abelmoschus ficulneus
ABEGR	Glossy abelia	Abelia grandiflora
ABEMA	Sweet hibiscus	Abelmoschus manihot
ABHV	AbHV	Abalone herpesvirus (isolate Abalone/Australia/Victoria/2009)
ABIAL	Edeltanne	Abies alba
ABIBA	Balsam fir	Abies balsamea
ABIBE	Baishan fir	Abies beshanzuensis
ABIBR	Bristle-cone fir	Abies bracteata
ABICO	White fir	Abies concolor
ABIFI	Momi fir	Abies firma
ABIFR	Fraser fir	Abies fraseri
ABIFY	Judy butterfly	Abisara fylloides
ABIGR	Grand fir	Abies grandis
ABIHL	Neddle fir	Abies holophylla
ABIHO	Nikko fir	Abies homolepis
ABIKO	Korean fir	Abies koreana
ABILA	Subalpine fir	Abies lasiocarpa
ABIMA	Red fir	Abies magnifica
ABIMR	Marie's fir	Abies mariesii
ABINE	Sicilian fir	Abies nebrodensis
ABINO	Caucasian fir	Abies nordmanniana
ABISA	Sakhalin fir	Abies sachalinensis
ABIVE	Veitch fir	Abies veitchii
ABLBU	Budak's snake-eyed skink	Ablepharus budaki
ABLHI	Flat needlefish	Ablennes hians
ABLKI	Snake-eyed skink	Ablepharus kitaibelii
ABLVB	ABLV	Australian bat lyssavirus (isolate Bat/AUS/1996)
ABLVH	ABLV	Australian bat lyssavirus (isolate Human/AUS/1998)
ABMVW	AbMV	Abutilon mosaic virus (isolate West India)
ABPVR	ABPV	Acute bee paralysis virus (strain Rothamsted)
ABRAN	Andean mouse	Abrothrix andinus
ABRBE	Bennett's chinchilla rat	Abrocoma bennettii
ABRBR	Freshwater bream	Abramis brama
ABRGR	Terrestrial arboreal alligator lizard	Abronia graminea
ABRJE	Jelski's altiplano mouse	Abrothrix jelskii
ABRLO	Long-haired grass mouse	Abrothrix longipilis
ABROL	Olive grass mouse	Abrothrix olivaceus
ABROR	Native hydrangea	Abrophyllum ornans
ABRPR	Indian licorice	Abrus precatorius
ABRSY	Clouded magpie moth	Abraxas sylvata
ABSGL	Pin mould	Absidia glauca
ABUSA	Sergeant major	Abudefduf saxatilis
ABUSE	Scissortail sergeant	Abudefduf sexfasciatus
ABUTH	Velvet-leaf	Abutilon theophrasti
ABUVA	Indo-Pacific sergeant	Abudefduf vaigiensis
ABV	ABV	Acidianus bottle-shaped virus
ABVP	ABV	Acidianus bottle-shaped virus (isolate Italy/Pozzuoli)
ABYKO	Baikalian deep-water sculpin	Abyssocottus korotneffi
ACAAN	Common death adder	Acanthophis antarcticus
ACAAR	Bean weevil	Acanthoscelides argillaceus
ACAAU	Paraguayan starburr	Acanthospermum australe
ACABA	Ocean surgeonfish	Acanthurus bahianus
ACABE	Picnic seabream	Acanthopagrus berda
ACABI	Peg-billed finch	Acanthidops bairdii
ACABO	Mottled loach	Acanthocobitis botia
ACABR	Short-spined crown-of-thorns starfish	Acanthaster brevispinus
ACABU	Australian black bream	Acanthopagrus butcheri
ACABW	Spiny-tailed leatherjacket	Acanthaluteres brownii
ACACA	Amoeba	Acanthamoeba castellanii
ACACE	Blue tang surgeonfish	Acanthurus coeruleus
ACACH	Doctorfish	Acanthurus chirurgus
ACACI	Horseface loach	Acantopsis choirorhynchos
ACACK	Khanka spiny bitterling	Acanthorhodeus chankaensis
ACACL	California copperleaf	Acalypha californica
ACACN	Chiton	Acanthochitona crinita
ACACO	Formosa acacia	Acacia confusa
ACACP	Mountain horned dragon	Acanthosaura capra
ACACR	Shield bug	Acanthosoma crassicaudum
ACACS	Copepod	Acartia clausii
ACACT	Mayfly	Acanthophlebia cruentata
ACACU	Moth	Acantholipes circumdata
ACADO	White miniature ark	Acar domingensis
ACAEB	Holly-leaved mangrove	Acanthus ebracteatus
ACAER	Spanish fringe-toed lizard	Acanthodactylus erythrurus
ACAEU	Bamboo coral	Acanella eburnea
ACAFL	Common redpoll	Acanthis flammea
ACAGO	Tarantula spider	Acanthoscurria gomesiana
ACAGR	Ark clam	Acar gradata
ACAGU	Whitespotted surgeonfish	Acanthurus guttatus
ACAHO	Arctic redpoll	Acanthis hornemanni
ACAKA	Mountain thornbill	Acanthiza katherina
ACALA	Yellowfin seabream	Acanthopagrus latus
ACALE	Powderblue surgeonfish	Acanthurus leucosternon
ACALI	Lined surgeonfish	Acanthurus lineatus
ACALU	Udo longhorn beetle	Acalolepta luxuriosa
ACAMA	Orchid	Acanthophippium mantinianum
ACAMI	Secretary blenny	Acanthemblemaria maria
ACAMN	Back wattle	Acacia mangium
ACAMY	Myrtle wattle	Acacia myrtifolia
ACANA	Tarantula spider	Acanthoscurria natalensis
